Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Lesser Whistling-Duck,0.0263158,0.0545455,0.1230769,0.0175439,0.0238095,0.03125,0.0,0.0517241,0.0263158,0.0,0.03125,0.1184211
Bar-headed Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
Graylag Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0394737
Ruddy Shelduck,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0517241,0.0263158,0.0,0.0,0.1315789
Common Shelduck,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0517241,0.0,0.0,0.0,0.0131579
Baikal Teal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garganey,0.0,0.0181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0263158,0.0,0.03125,0.0
Northern Shoveler,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0263158
Gadwall,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0172414,0.0263158,0.0,0.0,0.0394737
Eurasian Wigeon,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0789474
Northern Pintail,0.0,0.0,0.0,0.0175439,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0131579
Green-winged Teal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0
Tufted Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aythya sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duck sp.,0.0,0.0,0.0,0.0175439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Junglefowl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue-breasted Quail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
