Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Fulvous Whistling-Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesser Whistling-Duck,0.1086957,0.0892857,0.0344828,0.0465116,0.0465116,0.0,0.0609756,0.0470588,0.017094,0.0789474,0.0625,0.0130719
Bar-headed Goose,0.0,0.0,0.0172414,0.0,0.0,0.0015,0.0,0.0117647,0.017094,0.0131579,0.0234375,0.0015
Graylag Goose,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0117647,0.025641,0.0131579,0.0078125,0.0015
Anser sp.,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruddy Shelduck,0.0,0.0,0.0172414,0.0,0.0465116,0.0015,0.0243902,0.0352941,0.0512821,0.0131579,0.0390625,0.0457516
Common Shelduck,0.0,0.0,0.0,0.0,0.0232558,0.0,0.0121951,0.0470588,0.0683761,0.0657895,0.0546875,0.0196078
Cotton Pygmy-Goose,0.0,0.0089286,0.0,0.0232558,0.0,0.0,0.0,0.0235294,0.0,0.0526316,0.0546875,0.0
Garganey,0.0,0.0089286,0.0,0.0,0.0232558,0.0,0.0121951,0.0117647,0.017094,0.0,0.0078125,0.0
Northern Shoveler,0.0,0.0,0.0,0.0232558,0.0465116,0.0,0.0365854,0.0705882,0.0598291,0.0394737,0.0390625,0.0196078
Gadwall,0.0,0.0,0.0,0.0232558,0.0232558,0.0015,0.0487805,0.0235294,0.017094,0.0657895,0.0859375,0.0
Falcated Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eurasian Wigeon,0.0,0.0,0.0,0.0232558,0.0,0.08,0.0609756,0.0235294,0.025641,0.0394737,0.0390625,0.0261438
Indian Spot-billed Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0235294,0.0,0.0131579,0.0,0.0
Mallard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern Pintail,0.0,0.0,0.0,0.0,0.0465116,0.08,0.0731707,0.0352941,0.017094,0.0657895,0.015625,0.0
Green-winged Teal,0.0,0.0,0.0,0.0,0.0232558,0.0,0.0121951,0.0,0.008547,0.0131579,0.0,0.0
teal sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common Pochard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015
Ferruginous Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008547,0.0394737,0.0390625,0.0
Tufted Duck,0.0,0.0,0.0015,0.0232558,0.0,0.0,0.0,0.0,0.0,0.0131579,0.03125,0.0
Red-breasted Merganser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0
duck sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0243902,0.0117647,0.008547,0.0,0.0078125,0.0015
White-cheeked Partridge,0.0,0.0089286,0.0,0.0,0.0465116,0.04,0.0,0.0117647,0.008547,0.0,0.0078125,0.0065359
Kalij Pheasant,0.0434783,0.1428571,0.0862069,0.0232558,0.0930233,0.04,0.0487805,0.0235294,0.042735,0.0263158,0.0078125,0.0130719
Gray Peacock-Pheasant,0.0,0.0178571,0.0,0.0,0.0,0.0,0.0121951,0.0,0.008547,0.0131579,0.0,0.0
pheasant sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Junglefowl,0.0652174,0.0892857,0.0689655,0.0,0.0930233,0.04,0.0243902,0.0470588,0.0598291,0.0263158,0.0234375,0.0980392
Rain Quail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0
old world quail sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
