Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Fulvous Whistling-Duck,0.0,0.0,0.0,0.0,0.0,0.0037879,0.0042918,0.0059524,0.0,0.0,0.005988,0.0099751
Lesser Whistling-Duck,0.0310345,0.0797342,0.0725552,0.0620347,0.0539683,0.1136364,0.0429185,0.0863095,0.0787402,0.1,0.1017964,0.1147132
Fulvous/Lesser Whistling-Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bar-headed Goose,0.0034483,0.0,0.0,0.0,0.0,0.0037879,0.0042918,0.0,0.0,0.0038462,0.0,0.0
Graylag Goose,0.0,0.0,0.0,0.0024814,0.0,0.0,0.0,0.0,0.003937,0.0,0.0,0.0015
Greater White-fronted Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0
Knob-billed Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0
Ruddy Shelduck,0.0,0.0,0.0,0.0,0.0031746,0.0151515,0.0085837,0.0119048,0.015748,0.0038462,0.0179641,0.0074813
Common Shelduck,0.0,0.0,0.0,0.0,0.0,0.0037879,0.0,0.0029762,0.0,0.0,0.0,0.0
Cotton Pygmy-Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059524,0.0,0.0,0.0,0.0024938
Baikal Teal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garganey,0.0,0.0,0.0031546,0.0024814,0.0,0.0015,0.0,0.0029762,0.003937,0.0038462,0.008982,0.0049875
Northern Shoveler,0.0,0.0,0.0031546,0.0024814,0.0031746,0.0113636,0.0,0.0029762,0.0,0.0,0.0,0.0049875
Gadwall,0.0,0.0,0.0063091,0.0148883,0.0063492,0.0037879,0.0,0.0267857,0.019685,0.0076923,0.011976,0.0074813
Falcated Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059524,0.0,0.0,0.0,0.0
Eurasian Wigeon,0.0,0.0,0.0031546,0.0024814,0.0031746,0.0075758,0.0,0.0,0.0,0.0,0.005988,0.0024938
Indian Spot-billed Duck,0.0,0.0,0.0031546,0.0124069,0.0,0.0113636,0.0,0.0089286,0.0,0.0038462,0.002994,0.0074813
Mallard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern Pintail,0.0,0.0,0.0031546,0.0099256,0.0095238,0.0113636,0.0,0.0059524,0.0015,0.0038462,0.002994,0.0024938
Green-winged Teal,0.0,0.0,0.0031546,0.0024814,0.0031746,0.0075758,0.0,0.0,0.0,0.0115385,0.008982,0.0074813
teal sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076923,0.0,0.0
Red-crested Pochard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059524,0.0,0.0,0.0,0.0
Common Pochard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002994,0.0
Ferruginous Duck,0.0,0.0,0.0,0.0024814,0.0,0.0037879,0.0042918,0.0059524,0.0,0.0,0.002994,0.0049875
Tufted Duck,0.0,0.0,0.0,0.0,0.0,0.0037879,0.0,0.0,0.0,0.0,0.002994,0.0015
Greater Scaup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002994,0.0049875
duck sp.,0.0034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002994,0.0
White-cheeked Partridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalij Pheasant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Junglefowl,0.0034483,0.0015,0.0,0.0,0.0031746,0.0,0.0,0.0,0.0,0.0038462,0.0,0.0
Gray Francolin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Francolin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue-breasted Quail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common Quail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029762,0.0,0.0,0.0,0.0
Rain Quail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0
old world quail sp.,0.0,0.0,0.0,0.0,0.0031746,0.0,0.0,0.0029762,0.0,0.0,0.0,0.0024938
Rock Pigeon,0.4931034,0.5282392,0.5205047,0.5260546,0.4190476,0.4318182,0.4291845,0.4761905,0.480315,0.4846154,0.4431138,0.4738155
Oriental Turtle-Dove,0.0,0.013289,0.0031546,0.0049628,0.0031746,0.0037879,0.0,0.0029762,0.003937,0.0076923,0.002994,0.0
Eurasian Collared-Dove,0.0827586,0.1295681,0.1135647,0.0918114,0.1269841,0.1212121,0.0987124,0.125,0.1299213,0.1115385,0.1257485,0.1097257
Red Collared-Dove,0.0413793,0.1096346,0.0694006,0.0496278,0.0761905,0.0757576,0.0386266,0.0714286,0.0590551,0.0653846,0.0598802,0.0648379
Spotted Dove,0.437931,0.5647841,0.5173502,0.5136476,0.4571429,0.5113636,0.5321888,0.514881,0.4055118,0.4230769,0.4730539,0.4812968
Asian Emerald Dove,0.0034483,0.0066445,0.0189274,0.0049628,0.0285714,0.0151515,0.0386266,0.0386905,0.015748,0.0115385,0.008982,0.0074813
Orange-breasted Green-Pigeon,0.0034483,0.0066445,0.0,0.0,0.0031746,0.0075758,0.0042918,0.0,0.0015,0.0038462,0.0,0.0049875
Ashy-headed Green-Pigeon,0.0,0.0033223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024938
Thick-billed Green-Pigeon,0.0,0.0033223,0.0031546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yellow-footed Green-Pigeon,0.0896552,0.1362126,0.1514196,0.1116625,0.1206349,0.1136364,0.1545064,0.1428571,0.1220472,0.1230769,0.1167665,0.0972569
green-pigeon sp.,0.0068966,0.0033223,0.0,0.0,0.0,0.0,0.0042918,0.0059524,0.003937,0.0038462,0.005988,0.0
pigeon/dove sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater Coucal,0.0275862,0.076412,0.0694006,0.0421836,0.0666667,0.094697,0.0815451,0.1011905,0.1220472,0.1076923,0.1047904,0.1296758
Lesser Coucal,0.0,0.0033223,0.0,0.0049628,0.015873,0.0265152,0.0042918,0.0089286,0.0275591,0.0192308,0.0149701,0.0174564
coucal sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green-billed Malkoha,0.0068966,0.0199336,0.0063091,0.0148883,0.0,0.0075758,0.0128755,0.0119048,0.007874,0.0038462,0.011976,0.0099751
Chestnut-winged Cuckoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pied Cuckoo,0.0172414,0.013289,0.0063091,0.0,0.0031746,0.0,0.0042918,0.0,0.0015,0.0,0.002994,0.0
Asian Koel,0.2172414,0.2790698,0.2334385,0.2009926,0.1555556,0.1856061,0.2188841,0.1577381,0.1732283,0.1,0.1137725,0.1221945
Violet Cuckoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banded Bay Cuckoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plaintive Cuckoo,0.0241379,0.0265781,0.022082,0.0148883,0.0095238,0.0151515,0.0214592,0.0119048,0.011811,0.0230769,0.0179641,0.0299252
Gray-bellied Cuckoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024938
Plaintive/Gray-bellied Cuckoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Square-tailed Drongo-Cuckoo,0.0,0.0033223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Large Hawk-Cuckoo,0.0,0.0,0.0,0.0,0.0031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common Hawk-Cuckoo,0.0344828,0.0531561,0.0567823,0.0347395,0.0761905,0.0681818,0.0729614,0.077381,0.0511811,0.0692308,0.0239521,0.0673317
hawk-cuckoo sp.,0.0,0.0033223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesser Cuckoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indian Cuckoo,0.0,0.0,0.0,0.0,0.0063492,0.0,0.0042918,0.0029762,0.0,0.0015,0.002994,0.0049875
Common Cuckoo,0.0137931,0.0099668,0.0063091,0.0024814,0.0031746,0.0,0.0042918,0.0,0.0,0.0,0.0,0.0
Cuculus sp.,0.0068966,0.0066445,0.0094637,0.0,0.0,0.0037879,0.0,0.0,0.0,0.0038462,0.0,0.0
Great Eared-Nightjar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Large-tailed Nightjar,0.0068966,0.0265781,0.0126183,0.0049628,0.0063492,0.0037879,0.0042918,0.0208333,0.019685,0.0192308,0.0,0.0174564
nightjar sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hodgson's Frogmouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Himalayan Swiftlet,0.0,0.0,0.0,0.0,0.0,0.0075758,0.0042918,0.0,0.0,0.0038462,0.005988,0.0
Pacific Swift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0
House Swift,0.4655172,0.4152824,0.466877,0.4764268,0.3619048,0.344697,0.360515,0.297619,0.2874016,0.2307692,0.260479,0.2044888
Asian Palm Swift,0.3241379,0.3654485,0.384858,0.3151365,0.2253968,0.2727273,0.3218884,0.3035714,0.2440945,0.2384615,0.251497,0.2518703
swift sp.,0.0034483,0.0066445,0.0031546,0.0,0.0031746,0.0015,0.0,0.0,0.003937,0.0076923,0.0015,0.0049875
Crested Treeswift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brown-cheeked Rail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002994,0.0
Slaty-breasted Rail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003937,0.0,0.0,0.0
Eurasian Moorhen,0.0,0.0033223,0.022082,0.0024814,0.0063492,0.0113636,0.0171674,0.0357143,0.0354331,0.0384615,0.0329341,0.0349127
Eurasian Coot,0.0,0.0,0.0,0.0,0.0031746,0.0,0.0042918,0.0089286,0.011811,0.0,0.005988,0.0
Gray-headed Swamphen,0.0206897,0.013289,0.0252366,0.0049628,0.0063492,0.0113636,0.0,0.0,0.0,0.0038462,0.0,0.0024938
Watercock,0.0,0.0,0.0031546,0.0,0.0,0.0037879,0.0,0.0059524,0.007874,0.0,0.0,0.0
White-breasted Waterhen,0.0724138,0.1495017,0.126183,0.1066998,0.0984127,0.1590909,0.1072961,0.1607143,0.1338583,0.1192308,0.1017964,0.1296758
Ruddy-breasted Crake,0.0,0.0,0.0,0.0,0.0031746,0.0,0.0,0.0059524,0.0,0.0,0.0,0.0
Brown Crake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003937,0.0,0.0,0.0
Baillon's Crake,0.0,0.0,0.0,0.0,0.0,0.0,0.0042918,0.0089286,0.011811,0.0038462,0.0,0.0
rail/crake sp.,0.0034483,0.0,0.0,0.0,0.0,0.0,0.0042918,0.0029762,0.003937,0.0,0.0,0.0
Black-winged Stilt,0.0,0.0,0.0,0.0,0.0031746,0.0,0.0,0.0029762,0.0,0.0,0.0,0.0
Pied Avocet,0.0,0.0,0.0031546,0.0024814,0.0063492,0.0075758,0.0,0.0029762,0.0,0.0,0.002994,0.0
Black-bellied Plover,0.0,0.0,0.0031546,0.0,0.0,0.0037879,0.0,0.0,0.0,0.0,0.0,0.0
Pacific Golden-Plover,0.0,0.0033223,0.0031546,0.0024814,0.0031746,0.0113636,0.0085837,0.0029762,0.011811,0.0,0.0,0.0024938
Little Ringed Plover,0.0068966,0.013289,0.0473186,0.0521092,0.0603175,0.0719697,0.0386266,0.0595238,0.0629921,0.0730769,0.0598802,0.042394
River Lapwing,0.0,0.0,0.0,0.0024814,0.0,0.0,0.0,0.0,0.0,0.0038462,0.0015,0.0
Yellow-wattled Lapwing,0.0034483,0.0232558,0.0126183,0.0024814,0.0126984,0.0113636,0.0171674,0.0208333,0.003937,0.0153846,0.005988,0.0149626
Gray-headed Lapwing,0.0896552,0.1295681,0.1104101,0.0620347,0.0666667,0.0681818,0.0472103,0.0446429,0.0551181,0.0576923,0.0508982,0.0399002
Red-wattled Lapwing,0.0655172,0.0730897,0.0851735,0.0992556,0.1015873,0.094697,0.0643777,0.0744048,0.0472441,0.0961538,0.0748503,0.0648379
lapwing sp.,0.0034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0059524,0.0,0.0,0.0,0.0
Tibetan Sand-Plover,0.0,0.0,0.0,0.0024814,0.0,0.0037879,0.0,0.0,0.003937,0.0,0.0,0.0049875
sand-plover sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kentish Plover,0.0,0.0066445,0.0157729,0.0198511,0.0126984,0.0151515,0.0042918,0.0059524,0.007874,0.0038462,0.008982,0.0049875
plover sp.,0.0,0.0,0.0,0.0,0.0031746,0.0,0.0,0.0029762,0.0,0.0,0.0,0.0
Greater Painted-Snipe,0.0034483,0.0166113,0.0,0.0024814,0.0063492,0.0037879,0.0,0.0059524,0.019685,0.0192308,0.008982,0.0049875
