Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Fulvous Whistling-Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesser Whistling-Duck,0.0967742,0.0188679,0.0333333,0.0307692,0.0,0.0294118,0.0166667,0.0172414,0.0111111,0.0215054,0.0015,0.008547
Bar-headed Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0166667,0.0
Graylag Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruddy Shelduck,0.0,0.0,0.0015,0.0,0.0,0.0441176,0.0,0.0,0.0,0.0,0.0,0.0
Common Shelduck,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333,0.0,0.0111111,0.0,0.0,0.0
Cotton Pygmy-Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0166667,0.0,0.0,0.0107527,0.0,0.0
Garganey,0.0,0.0,0.0,0.0,0.0,0.0147059,0.0,0.0,0.0,0.0,0.0,0.0
Northern Shoveler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222222,0.0,0.0,0.0
Gadwall,0.0,0.0,0.0,0.0,0.0338983,0.0,0.0,0.0,0.0111111,0.0,0.0,0.0
Falcated Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eurasian Wigeon,0.0,0.0,0.0,0.0,0.0,0.0294118,0.0333333,0.0,0.0,0.0,0.0,0.008547
Mallard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111111,0.0,0.0,0.0
Northern Pintail,0.0,0.0,0.0,0.0,0.0,0.0147059,0.0,0.0,0.0,0.0,0.0,0.0
Green-winged Teal,0.0,0.0,0.0,0.0,0.0,0.0,0.0166667,0.0,0.0111111,0.0,0.0,0.008547
Ferruginous Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tufted Duck,0.0,0.0,0.0,0.0,0.0,0.0147059,0.0,0.0,0.0,0.0,0.0,0.0
duck sp.,0.0,0.0,0.0,0.0,0.0,0.0147059,0.0,0.0,0.0,0.0,0.0,0.008547
Red Junglefowl,0.0,0.0,0.0,0.0153846,0.1186441,0.0588235,0.0015,0.0517241,0.2,0.1290323,0.1333333,0.1196581
Gray Francolin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
old world quail sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0172414,0.0,0.0,0.0,0.0
Rock Pigeon,0.1935484,0.0566038,0.1166667,0.0923077,0.0508475,0.0294118,0.0166667,0.1034483,0.0555556,0.0967742,0.0333333,0.0683761
