Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Fulvous Whistling-Duck,0.01,0.0050251,0.0,0.0,0.0,0.0,0.011236,0.0,0.0117647,0.0,0.0273973,0.0445545
Lesser Whistling-Duck,0.19,0.160804,0.1139241,0.1216216,0.1810345,0.1616162,0.258427,0.2608696,0.2588235,0.203125,0.2739726,0.2722772
Bar-headed Goose,0.0,0.0,0.0,0.0,0.0086207,0.010101,0.0224719,0.0652174,0.0941176,0.078125,0.0136986,0.019802
Graylag Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0235294,0.015625,0.0,0.0247525
Greater White-fronted Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029703
Knob-billed Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019802
Ruddy Shelduck,0.0,0.0,0.0063291,0.027027,0.137931,0.1616162,0.1685393,0.2536232,0.2235294,0.234375,0.1917808,0.3019802
Common Shelduck,0.0,0.0,0.0,0.0,0.0086207,0.020202,0.0,0.0072464,0.0235294,0.046875,0.0273973,0.0594059
Cotton Pygmy-Goose,0.0,0.0201005,0.0189873,0.0405405,0.0344828,0.030303,0.0224719,0.0289855,0.0588235,0.015625,0.0547945,0.029703
Baikal Teal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0117647,0.015625,0.0,0.0
Garganey,0.0,0.0201005,0.0063291,0.0743243,0.0862069,0.1010101,0.0898876,0.1521739,0.1411765,0.140625,0.1369863,0.1386139
Northern Shoveler,0.0,0.0,0.0126582,0.0202703,0.0431034,0.0606061,0.0674157,0.115942,0.1176471,0.125,0.0958904,0.1881188
Gadwall,0.0,0.0301508,0.0189873,0.0810811,0.112069,0.1414141,0.1797753,0.2101449,0.2,0.171875,0.1369863,0.2178218
Falcated Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0352941,0.015625,0.0136986,0.0
Eurasian Wigeon,0.0,0.0,0.0,0.0135135,0.0172414,0.040404,0.0561798,0.0507246,0.0470588,0.078125,0.0273973,0.0544554
Indian Spot-billed Duck,0.0,0.0050251,0.0,0.0202703,0.0172414,0.010101,0.0337079,0.0507246,0.0,0.0,0.0136986,0.009901
Mallard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072464,0.0015,0.0,0.0273973,0.0148515
Northern Pintail,0.0,0.0050251,0.0,0.0405405,0.0862069,0.0909091,0.1123596,0.1376812,0.1058824,0.125,0.0547945,0.1534653
Green-winged Teal,0.0,0.0,0.0063291,0.0337838,0.0689655,0.0909091,0.0898876,0.1086957,0.1411765,0.171875,0.109589,0.1584158
teal sp.,0.0,0.0,0.0126582,0.0,0.0,0.0,0.011236,0.0,0.0117647,0.0,0.0,0.0049505
Red-crested Pochard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0289855,0.0352941,0.125,0.0410959,0.049505
Common Pochard,0.0,0.0,0.0,0.0,0.0,0.030303,0.0224719,0.0724638,0.0470588,0.078125,0.0136986,0.0247525
Ferruginous Duck,0.0,0.0,0.0063291,0.0135135,0.0344828,0.020202,0.0449438,0.0869565,0.0588235,0.046875,0.0273973,0.049505
Baer's Pochard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tufted Duck,0.0,0.0,0.0,0.0067568,0.0,0.010101,0.0449438,0.057971,0.0823529,0.03125,0.0136986,0.049505
Common Merganser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.009901
duck sp.,0.01,0.0050251,0.0063291,0.0202703,0.0,0.0,0.0015,0.0217391,0.0,0.015625,0.0136986,0.0015
Gray Francolin,0.0,0.0100503,0.0126582,0.0202703,0.0172414,0.0707071,0.1235955,0.0797101,0.0705882,0.015625,0.0684932,0.0990099
Black Francolin,0.03,0.0050251,0.0063291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049505
Common Quail,0.0,0.0,0.0,0.0,0.0086207,0.0,0.0,0.0072464,0.0117647,0.0,0.0,0.0
Rain Quail,0.0,0.0,0.0,0.027027,0.0,0.020202,0.0,0.0144928,0.0,0.015625,0.0,0.0
Common/Rain Quail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
old world quail sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0117647,0.015625,0.0,0.0
Rock Pigeon,0.25,0.2763819,0.1772152,0.2905405,0.2844828,0.2626263,0.1797753,0.2536232,0.3058824,0.21875,0.2191781,0.2772277
Oriental Turtle-Dove,0.01,0.0050251,0.0126582,0.0135135,0.0172414,0.010101,0.011236,0.0072464,0.0235294,0.0,0.0136986,0.0049505
Eurasian Collared-Dove,0.18,0.2311558,0.1898734,0.2094595,0.1724138,0.2020202,0.2247191,0.2608696,0.2352941,0.15625,0.2739726,0.3118812
