Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Fulvous Whistling-Duck,0.0,0.0,0.0,0.02,0.0138889,0.0,0.0119048,0.0454545,0.0,0.012987,0.0181818,0.0277778
Lesser Whistling-Duck,0.0512821,0.0879121,0.125,0.24,0.1666667,0.1052632,0.1547619,0.1022727,0.1764706,0.1688312,0.0363636,0.0833333
Fulvous/Lesser Whistling-Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bar-headed Goose,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Graylag Goose,0.0,0.0,0.0,0.0,0.0138889,0.0,0.0,0.0,0.0,0.025974,0.0,0.0
Lesser White-fronted Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knob-billed Duck,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0
Ruddy Shelduck,0.0,0.0,0.0,0.02,0.0,0.0210526,0.0,0.0,0.0196078,0.0,0.0,0.0
Common Shelduck,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.012987,0.0,0.0
Cotton Pygmy-Goose,0.0,0.0,0.0138889,0.02,0.0277778,0.0,0.0119048,0.0454545,0.0392157,0.0779221,0.0,0.0694444
Baikal Teal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garganey,0.0,0.0,0.0,0.02,0.0138889,0.0105263,0.0119048,0.0454545,0.0588235,0.0909091,0.0,0.0694444
Northern Shoveler,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0568182,0.0392157,0.0,0.0181818,0.0277778
Gadwall,0.0,0.0,0.0,0.02,0.0138889,0.0,0.0119048,0.0340909,0.0980392,0.0519481,0.0363636,0.0555556
Falcated Duck,0.0,0.0,0.0,0.02,0.0138889,0.0,0.0,0.0,0.0015,0.0,0.0,0.0015
Eurasian Wigeon,0.0,0.0,0.0,0.02,0.0,0.0,0.0119048,0.0113636,0.0196078,0.025974,0.0,0.0138889
Indian Spot-billed Duck,0.0,0.010989,0.0,0.02,0.0138889,0.0,0.0119048,0.0,0.0588235,0.0,0.0363636,0.0138889
Mallard,0.0,0.0,0.0,0.02,0.0,0.0,0.0119048,0.0,0.0,0.0,0.0181818,0.0
Northern Pintail,0.0,0.0,0.0,0.02,0.0,0.0,0.0238095,0.0227273,0.0588235,0.0519481,0.0363636,0.0555556
Green-winged Teal,0.0,0.0,0.0,0.02,0.0,0.0105263,0.0,0.0340909,0.0196078,0.038961,0.0181818,0.0694444
teal sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red-crested Pochard,0.0,0.0,0.0,0.02,0.0,0.0,0.0119048,0.0113636,0.0588235,0.0,0.0181818,0.0138889
Common Pochard,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0227273,0.0,0.0,0.0,0.0138889
Ferruginous Duck,0.0,0.0,0.0,0.02,0.0138889,0.0,0.0119048,0.0227273,0.0588235,0.0519481,0.0181818,0.0416667
Baer's Pochard,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
